Tony Mofftana	Trying to survive past Corona	GeoLocation{latitude=0. longitude=0}	RT @anactualwalnut: Doctors at UPMC Pittsburgh have released today they found a COVID cure and are submitting it for FDA approval and safet 	no title exists
  love. if 	            (marshmallow - ing~ . no more dream - ing~) _me: a quiet one_	GeoLocation{latitude=0. longitude=0}	i just keep staring at the lyrics idek why	no title exists
Nathan_Coder	Blogger. Gamer. Traveler. Addicted to social networks...        	GeoLocation{latitude=0. longitude=0}	RT @france_images: The harbour at Courseulles sur Mer #Normandy #France #travel photo #CoureullesSurMer https://t.co/YRrDxhsTyb https://t 	no title exists
Juice FM	Welcome to Juice FM the one and only station were all the best in classic hits are played 24/7...	GeoLocation{latitude=0. longitude=0}	Currently Playing here at Juice FM is CeCe Peniston - Finally so why not head on over to our website and join us and we will see you there https://t.co/SV54AVVG6G	no title exists
Amit Singh	Global citizen. with localised views. Against politically correct Politics. MODIfied TRUMP. Trolls: please take a stroll. Don t just like. please RT	GeoLocation{latitude=0. longitude=0}	@Nidhi Btw when it was being done daily. did you ever applaud that action? I used to admire you as a journalist during initial days at NDTV. the more I see your tweets now. more I understand your level of journalism or the lack of it. @OmarAbdullah	no title exists
Flipper Shehnaazian	Shehnaaz gill Fan	GeoLocation{latitude=0. longitude=0}	RT @SanaKahanHai: Trending worldwide at 16 Its gonna be super hit for sure #KehGayiSorry @ishehnaaz_gill @jassiegill https://t.co/qY9 	no title exists
Joy to the world   #PhysicalDistancing	Dentist in the making.5 11 beauty.music lover.Firm Believer.I just came here to Laugh and ease boredom.follow my tweets and see the kind of a person I am   	GeoLocation{latitude=0. longitude=0}	Better heroes than the police	no title exists
Dzimbahwe  	Entrepreneur || Food Lover||Visionary||Conqueror I Am One With The People   #WeAreTheArsenal  #LongLiveRGMugabeRest In Eternal Peace Mom.	GeoLocation{latitude=0. longitude=0}	RT @NickEnaigbe: Pharrell Willams supposedly lost his virginity at 16 to a 29 year old women who was a co-worker at McDonald's.Kelis also 	no title exists
       	<no bio>	GeoLocation{latitude=0. longitude=0}	RT @itsme_cruisader: Fans of AlDub are commonly referred to as  AlDub Nation . tagging the word nation as it was able to capture three larg 	no title exists
SpookyScottishBitch  	GGTTH	GeoLocation{latitude=0. longitude=0}	RT @EdinburghPolice: Have you seen 21-year-old Naseem Ahmed. last seen Clader Rd #Edinburgh at 3am this morning (7 May).  5ft 4inches. slim 	no title exists
giul	( ) #                                 #StrayKids         (    )                             	GeoLocation{latitude=0. longitude=0}	RT @dandykookie: -        ( )        -     kim seungmin au...  gwapo. matalino. talented. at sporty. pero there's one issue; he's a ghos 	no title exists
Opus Energy	Supplying gas and 100% renewable electricity to small and medium UK businesses   Buying power from 2.300+ independent renewable generators   Part of @Draxnews	GeoLocation{latitude=0. longitude=0}	What's the difference between #CarbonNeutral and #CarbonNegative?    Valpy Fitzgerald. Director of Green Markets here at Opus Energy has broken down the jargon    https://t.co/CHHArV0k8k	no title exists
Carla Wade	Co-host of WVTM 13 Morning News in Birmingham. Alabama. Links & RTs aren't endorsements. Opinions are my own. Carla.Wade@Hearst.com Instagram: carlawade7	GeoLocation{latitude=0. longitude=0}	You still have time to let us know about a hardworking nurse that you think deserves some recognition! We re sharing their pics all week on @WVTM13 News. See you at 4 a.m.! @IanWVTM13 @StephWVTM13 https://t.co/qvgdUcNjAE	no title exists
IEMBot TBW	Syndication of National Weather Service Office Tampa Bay Area/Ruskin. FL. Unmonitored. contact @akrherz who developed this.	GeoLocation{latitude=0. longitude=0}	TBW issues Area Forecast Discussion (AFD) at May 7. 4:35 AM EDT https://t.co/9BxNgyK52A	no title exists
J	<no bio>	GeoLocation{latitude=0. longitude=0}	RT @MiAmorAlia: White people have been angrily yelling at the police for like 3 weeks now and ain t nobody died. Not even shot. That s how 	no title exists
ESFRS_CityInclusion	Inclusion & Partnership in our City. We work to keep communities safe & our services accessible to all.Free Home Safety Visits: Homefire.Safetyvisits@esfrs.org	GeoLocation{latitude=0. longitude=0}	RT @BrightonHoveCC: This Friday 8 May. @BrightonHoveBus will be operating a Sunday service.  More details can be found here:  https://t.co/ 	t.co / Twitter
7-1=0             (iuxsuga)	THE GENER IS BTS jinmin bias ot7 army the only pop culture I care it's btspop	GeoLocation{latitude=0. longitude=0}	RT @chartmastersorg: Superstars collab between @_IUofficial and Suga of @BTS_twt is also rising their profile on Spotify as both acts gaine 	no title exists
willy d	yessir	GeoLocation{latitude=0. longitude=0}	im tired of this. im tired of poc always being oppressed and killed mindlessly because we are the  savages . im tired of having to tell my brother why certain neighbors dont wave back at us or blowing off every racist remark i hear bc its a  joke .	no title exists
Ms_kaycee	Happy child!!! Mummy Zo Arsenal Fan #StillIRise #Brotherskeeper #Sultians	GeoLocation{latitude=0. longitude=0}	RT @Mayorspeaks: If you see a married man online at 2am pls don't text him. its his wife doing patrol at that time   	no title exists
olga	Aries     Happily Taken             Just trying to live a happy drama-free life  	GeoLocation{latitude=0. longitude=0}	@marcuss_14 Can you buy me a Laura boutique gift card while you re at it    	no title exists
 ronnie    feat.    	#BTS: we are gay     	GeoLocation{latitude=0. longitude=0}	wait im so confused i had this extremely realistic like dream?? i woke up at 7am to close the window and i looked at my phone to check the time and i saw a notification from youtube AND twitter from seokjin that he was live?? it looked so real????	no title exists
Emmanuel	<no bio>	GeoLocation{latitude=0. longitude=0}	RT @SlamRushPNP: Sketchy Sex:  BREEDING PARTY  Short Clip 2Look at it now in:    https://t.co/mooPipLGvp    https://t.co/m2V3zwil6v	no title exists
Sayuri	20s american. student. learning languages and making videos for youtube.Native | ENGComfortable | KRRusty | JPN. FRLooking forward to | CN	GeoLocation{latitude=0. longitude=0}	@KevinAbroad1 I think it should. but with a broad range of languages to choose from and and introductory course to linguistics. However at the same time I have no confidence in most school systems to implement this in a interesting and fun way. I believe it'd become like every other gen ed.	no title exists
